,Purpose Code,Categorization
4920,"TV AND DIGITAL ADVERTISEMENT ALASKA ENDORSEMENT SUPPORTING DAN SULLIVAN, 10/3 - 10/14.",digital
5487,PRODUCTION FOR TV ADVERTISING (MOST IMPORTANT),media
2558,IE-MCCASKILL-PRINTING/SHIPPING,administrative
2610,JOB AD,media
5421,MILEAGE REIMBURSEMENT FOR VOTER CONTACT FROM 5/14-5/31/16,field
1728,PREPARE MAILING,administrative
4198,IE-HATCH-RENT,field
3066,"DIGITAL WEB AD PLACEMENT (DEFEAT 'PAY-MORE' PATRICK) DID NOT CROSS $10,000 THRESHOLD.",digital
6668,DIGITAL AD (FROM ADVANCE LINE 21),digital
21,PUMPING IRON PRODUCTION SPANISH\TTV PRODUCTION,media
2421,DIRECT MAIL - LIST MAINTENANCE,fundraising
2197,DOOR-TO-DOOR CANVASS STAFF AND RELATED EXPENSES,field
3469,RADIO AD PRODUCTION/PLACEMENT,media
5265,TELEVISION PRODUCTION AND FILM COSTS,media
7033,DIGITAL MEDIA PRODUCTION/PLACEMENT - TENNESSEE,digital
617,AUDIO VISUAL SERVICES AMEX SB23599732,media
6364,TV & ONLINE ADS 'THE MAN',digital
3558,PHONE BANK SALARY 8/15/12 TO 8/21/12,field
3407,IE-SOUTHERLAND-DIRECT MAIL,fundraising
879,STAFF AND EMAIL FOR EMC UPDATE,administrative
4781,DIGITAL WEB AD (CAN'T AFFORD KANDER),digital
547,IN KIND EVENT CATERING,administrative
1383,TV PRODUCTION OF 'NO FRIEND',media
317,AUDIO DESIGN - 'GAS',media
909,PRESS RELEASE/SOCIAL MEDIA VIDEO,digital
933,HOTEL LODGING,travel
162,EMAIL ACQUISITION,digital
526,PRODUCTION - 'GASTOS Y EMPLEOS' & 'SPENDING & JOBS' 10/28/2010,media
7221,DIRECT MAIL CREATIVE FEEESTIMATE OF NATIONWIDE DM OPPOSING HILLARY CLINTON. DMS SENT ON 11/30/15.,fundraising
1701,POSTAGE FOR MAILERS ('MASTO HEALTHCARE MAILER 2'),media
5939,TELEPHONE CALLS - 11/04/2012,administrative
2315,AD PRODUCTION [ESTIMATE],media
442,STAGING SOUND LIGHTING,media
2329,PRODUCTION AND PLACEMENT OF OBAMACIN ONLINE AD,digital
7901,IE-HAYWORTH-DOOR HANGERS,field
2556,AUTOMATED CALLING 7/10-7/14/12 (ESTIMATE),field
1649,PRODUCTION COST,media
2253,"RADIO, TV AD PRODUCTION & BUY",media
5972,DIRECT MAILING TO ACTIVE MEMBERS,fundraising
4369,OBAMA/BIDEN BUTTONS,field
55,WEB ADVERTISING,digital
1577,IE-MANESS-DIRECT MAIL PRODUCTION,fundraising
5164,MILEAGE REIMBURSEMENT - RESEARCH,travel
3125,IE-COTTON-EMAIL LIST RENTAL,digital
2183,JUNE MONTHLY LIST RENTAL FEES,fundraising
116,DIGITAL WEB AD PLACEMENT OBAMACARE,digital
4331,PD ROBO CALLS - GOTV DONE 10.30,field
2217,FUEL FOR TRAVEL TO RALLY,travel
1331,MAILERS (COST OF LIVING),media
1921,CANVASS VOLUNTEER STIPENDS,field
2182,PRESS AND ONLINE OUTREACH,digital
940,DIGITAL AD BUY AND PRODUCTION,digital
5744,WEB AD PLACEMENT (BRUCE BRALEY - VOTE NEWS CLIP VIDEO 1),digital
3709,WEB ADS: INTERVIEW/BISHOPS,digital
417,LIVE PHONE BANK CALLS,polling
7307,STAFF TIME; 9/6 - 9/30 (ESTIMATE); DOES NOT AGGREGATE TO 10K UNTIL 9/26/16,administrative
1567,ESTIMATED COST FOR SALARY BENEFITS & OTHER CANVASS-RELATED EXPENSES,field
363,9/25 TO 9/30 RADIO ADVERTISING,media
5134,ICWUC/UFCW FOR OBAMA BUTTONS,field
2883,TELEVISION PRODUCTION OF 'GLITZ' - ESTIMATE,media
3248,IE-HAGAN-ESTIMATED STAFF & OVERHEAD,administrative
1843,IE-GRAHAM-DIRECT MAIL,fundraising
123,9/29 TO 9/30  RADIO ADVERTISING,media
4153,MAIL PRODUCTION PRINTING POSTAGE (DEFEAT UDALL 2),fundraising
6402,SEARCH AD: NM,media
4736,"MAIL PRODUCITON COSTS, POSTAGE",administrative
4294,PRINTING & POSTAGE FOR POSTCARDS,administrative
4450,WEBSIDE DEVELOPMENT OPPOSING EVAN BAYH,digital
954,IN KIND TTW SURVEY RESEARCH,polling
691,ESTIMATED COST SKULLIES,misc
919,DATA SUBSCRIPTION,polling
5585,IE-TAYLOR-ONLINE ADES,digital
6179,RADIO ADS 10/12+,media
668,AUTOMATED PHONE MESSAGES,field
2328,ESTIMATED COST FOR CANVASS LITERATURE PRINTING,field
4510,VEHICLE WRAP,travel
7435,CNVASSER,field
3042,PLANE FLYOVER MESSAGES: HEATHER WILSON: SCORING TDS 4 POLLUTERS SINCE 1998 + 2 OTHER SIMILARS,media
1479,IE-MCCONNELL-OFFICE RENT,administrative
1351,MAIL PRODUCTION PRINTING POSTAGE (LANDRIEU ISN'T LISTENING 2),fundraising
761,FOOD AND BEVERAGE DEC AND JAN MEMBER EVENTS,field
195,PRINTING  POSTAGE,administrative
2360,TIME PURCHASE FOR TV ADVERTISING,media
4916,IE-BURNS-DOOR HANGERS,field
2664,MAIL PRINTING AND POSTAGE (DEFEAT UDALL 3),administrative
7547,FL 26-STAFF TIME FOR MAILER REVIEW,media
5746,PERIODICAL MAILING HOUSE HANDLING,administrative
3235,ONLINE PRODUCTION COSTS,digital
2424,VOTER OUTREACH CALLING SERVICES,field
777,IN-KIND PHONE BANKING EQUIPMENT,polling
1947,ESTIMATED OCTOBER ONLINE ADVERTISING,digital
7384,MAILING - DISSEMINATED 3/13/12,administrative
3897,GRAPHICS FOR MAIL PIECEE,media
4080,ESTIMATE OF MAY MONTHLY LIST RENTAL FEES,field
3417,PARKING FEES FOR BUS,travel
6098,BILLBOARD ADVERTISING & SHIPPING OF HELLO ROMNEY,media
861,TRANSPORTATION SVC,travel
1735,DIRECT MAIL OF 'EQUAL PAY' - ESTIMATE,fundraising
878,BANK CHARGE,legal
826,TRAVEL LODGING MEALS,travel
2325,WEB & PRINT AD DESIGN (DEFEAT BEGICH),digital
5844,TELEVISION ADVERTISING OF WANTED,media
2077,PRODUCTION COSTS (ABANDONED),media
462,"CREATION, DISTRIBUTION OF 1ST AD",media
1285,IE-ALLEN-SIGNAGE,field
7786,WEB AD PLACEMENT (WHAT HAS LANDRIEU DONE FOR YOU),digital
6304,IE-BRANNN-TRAVEL,travel
5457,"ADDITIONAL STAFF TIME FOR FIELD CANVASS,10/27-10/29",field
3569,IE-MULVANEY-DOOR HANGERS,field
2392,PRODUCTION TALENT EXPENSE FOR TRAVEL FOR PHONE BANKS,polling
6082,POSTAGE  FOR MAILERS (COST OF LIVING),media
6740,DOOR TO DOOR CANVASS TO DROP CANDIDATE LITERATURE IN NH SENATE DISTRICTS 671216,field
5395,"LABOR - BLOCK WALKERS, PHONE CALLS",field
3646,ESTIMATED ONLINE VOTER CONTACT FOR JUNE,digital
82,MERCHANT FEE,administrative
726,LEGAL COMPLIANCE WORK,legal
75,IE-BENTIVOLIO-DOOR HANGERS,field
6525,SHIP CAMPAIGN MATERIALS TO VILLAGES,field
3289,ESTIMATED PAYMENT FOR SALARY AND BENEFITS FROM 10/16-11/6,administrative
2700,TELEVISION BUY AND PRODUCTION COST - HEALTHCARE,media
4468,MAILER (MASTO OBAMACARE),media
687,BROADCAST & DIGITAL AD.,digital
2837,POSTAGE FOR MAILERS (BAYH SUPREME COURT MAILER 1),media
7907,STAFF TIME REVIEWING NM VOTER OUTREACH CALLING PLANS,field
562,Advertising Expenses,media
5263,VOTER CONTACT CARDS,field
1562,WEBSITE DESIGN & DEVELOPMENT,digital
7763,"TRAVEL FOR FIELD PROGRAM; 7/1 - 7/31 (ESTIMATE). EXPECTED TO REACH $10,000 NO EARLIER THAN 8/8/14.",travel
423,TELEPHONE CALLS - DISSEMINATED 8/26/2016,administrative
1879,ADVOCACY PHONES,field
3757,TELEVISION AD PRODUCTION (ESTIMATED),media
37,ADDITIONAL MEDIA PRODUCTION,media
6158,PRINTING AND SHIPPING FOR DOOR HANGERS,field
3010,CANVASSER- GREEN BAY,field
668,AMEX PMT SB21B23623 AUDIO VISUAL SERVICES,media
5230,RENTAL CAR FOR CONFERENCE,travel
5759,ESTIMATE OF JULY MONTHLY POLITICAL ADVOCACY CALLS,field
414,MEDIA BUY TV,media
441,PARTY FUNDRAISING EXPENSE,fundraising
119,EMAIL BLAST,digital
6828,SHIPPING OF PRINTED MATERIALS,administrative
3036,DISTRIBUTION OF 70 LETTER CARRIER FOR OBAMA T-SHIRTS TO NALC MEMBERS,field
1423,INTERNET MEDIA BUY,digital
7421,RADIO ADVERTISING (PRODUCTION),media
579,DIGITAL AD PROMOTION,digital
4,PRINTING,administrative
465,"NEW TELEVISION AD AIR BUY, PRODUCTION COSTS",media
7672,MEDIA PRODUCTION EXPENSE - SOUND,media
5276,IE-MOURDOCK-ONLINE BLOGS,digital
5810,PRINTING - BISHOP THE SPENDIFICENT,administrative
2568,IE-CRUZ-SITE RENTAL,digital
613,STAFF TIME FOR REVIEW OF MAILER,media
4873,RADIO/MEDIA PLACEMENT,media
7691,REIMBURSEMENT FOR STAFF TIME,administrative
571,DEBT REPAYMENT TELEMARKETING,fundraising
6975,PRODUCTION COSTS - HOUSEWIVES AD,media
784,TV AD DISSEMINATION - 'FIGHTING FOR NEW HAMPSHIRE',media
7844,MILEAGE ESTIMATE FOR CANVASSERS 10/27-11/8 OH,field
1374,PHONE ADVERTISING,digital
5924,ESTIMATED COST FOR PHONE BANKING,field
5519,VOTER MAIL (DROP DATE 11/26/2012),field
85,MAIL SERVICES,administrative
6611,ONLINE ADVERTISING: FACEBOOK,digital
6445,MAIL DESIGN (WEILAND/PRESSLER 4),media
945,TRAVEL LODGING AMEX SB23599732,travel
201,FUNDRAISING CONSULTING SERVICES,consulting
869,IE-ROTHFUS-WALKING MAPS,field
2555,EMAIL COMMUNICATION (ESTIMATED COST),digital
3471,POST-DEBATE EMAIL,digital
5116,10/1 TO 10/3 RADIO ADVERTISING,media
1190,ADVERTISING DESIGN SERVICES,media
3281,CANVASSING SERVICES 9/19-9/25,field
2178,WEB AD PLACEMENT,digital
2829,RADIO ADS - OH - 10/31/12,media
1436,"TV AND DIGITAL ADVERTISEMENT FLIP FLOP OPPOSING NICK RAHALL, 9/5 - 9/15.",digital
6412,TRAVEL-AIRFARE,travel
1638,GOTV MOBILE CAMPAIGN,fundraising
284,CANVASS,field
7454,DIGITAL ADVERTISING (PRODUCTION COSTS),digital
7268,"RADIO BUY, MAIL SERVICES",media
267,VOTER CONTACT PHONES,field
3506,REIMB: TRANSPORTATION; ULTIMATE PAYEE SHELL,travel
30,COMPUTER EQUIPMENT,administrative
255,NEWSPAPER AD  -  CO,media
2870,TEXT MESSAGING,digital
2577,SALARY (W/ TAXES & BENEFITS),administrative
7034,OBAMA BUTTONS AND BUMPER STICKERS,field
277,MEDIA BUY; ALSO OPPOSES RICK SANTORUM; SUPPORTS MITT ROMNEY,media
561,PROFESSIONAL FUNDRAISER,fundraising
7739,MEDIA BUY AND PRODUCTION COSTS,media
3258,"TV ADVERTISING, PLACEMENT COST (ALSO OPPOSES MAGGIE HASSAN)",media
4737,MEDIA BUY - 'MUCH',media
4493,"MEDIA PLANNING, PRODUCTION & BUY",media
140,PRODUCTION OF TV ADVERTISEMENT,media
5606,"TV, DIGITAL, PHONE AND MAIL CAMPAIGNS SUPPORTING ROGER MARSHALL, JULY 26 - AUGUST 2.",digital
3998,DIGITAL WEB AD PRODUCTION ('OBAMACARE'),digital
5901,COPIES FOR PHONE BANKING; 9/1 - 9/30.,field
5432,IE-TARKANIAN-VOLUNTEER COORDINATING,field
4380,BUMPER STICKERS - JOE DONNELLY,field
429,TELEMARKETING DATA MANAGEMENT SERVICES,fundraising
4351,EQUIPMENT FOR CANVASS / PHONE BANKS,field
5125,FACEBOOK ADVERTISING MANAGEMENT,digital
6036,GOTV CALLING IN COLORADO,field
86,DIGITAL AD PLACEMENT PRODUCTION,digital
3457,STAFF TIME ASSOCIATED WITH INDEPENDENT EXPENDITURE,administrative
870,REIMBURSEMENT TRAVEL EXPENSES,travel
6017,TV MEDIA BUY AND PRODUCTION,media
963,SURVEY RESEARCH SERVICES,polling
375,TELEVISION COMMERCIAL (OBAMACARE),media
2437,NEWSPAPER AD - CA,media
4955,CABLE AD - SUPREME COURT,media
1836,IE-CRUZ-WEB SERVICES,digital
911,TRAVEL LODGING AMEX SB232859911,travel
5531,RADIO ADVERTISING (IN-KIND); ALSO SUPPORTS MITT ROMNEY,media
862,MAIL PRODUCTION PRINTING POSTAGE (BRALEY 1),fundraising
511,SUBSCRIPTIONS,administrative
6069,MUSIC LICENSE FOR RADIO AD (INVOICED 9/17). AD AIRS 9/21 - 9/26,media
6660,TELEVISION PRODUCTION OF 'PICTURE' - ESTIMATE,media
4632,PRODUCTION (TULSI),media
2552,VOTER ID CALLS DOOR HANGERS/KNOCKERS,field
282,"POSTCARD MAILING (PRINTING, POSTAGE)",administrative
369,"RALLY SIGNS, BUMPERSTRIPS FOR RESTRICTED",field
4639,DIRECT MAIL (TRUST),fundraising
7785,ADVERTISING - MEDIA PLACEMENT (PAID 10/9/2014) (ESTIMATE),media
542,MEDIA PRODUCTION - 227,media
1840,WEB AD PLACEMENT (FIRE UDALL),digital
5815,"TELEVISION AND DIGITAL MEDIA SUPPORTING PAT TOOMEY, JUNE 2 - JUNE 22.",digital
4209,FLORIDA FIRST STAFF EXPENSES (EXCEEDED $10K ON 10/12/2016),administrative
531,TELEVISION AD,media
2045,EMAIL - VOTER GUIDE,digital
2145,ADVERTISING - ONLINE,digital
5908,IE-RUBIO-BUMPER STICKERS,field
2446,CONSULTANT DIGITAL PRODUCTION SERVICES AND INTERNET ADVERTISING,consulting
305,VOTER OUTREACH  PRINTING,field
2088,IE-LEE-SHIPPING SUPPLIES,administrative
187,RADIO NATIONAL SECURITY PRODUCTION,media
5848,DIGITAL AD/PRODUCTION,digital
5854,"TV ADVERTISEMENT DELIVER SUPPORTING THAD COCHRAN, 6/13/14 - 6/24/14.",media
7616,LATINO TELEVISION ADS,media
6604,GOOD TV PLACEMENT,media
3483,CONCEPT; CREATIVE & PRODUCTION FEES,media
4359,EST. COST-FOOD FOR CANVASSERS FROM 10/16-11/6,field
39,TV  INTERNET ADS,digital
4708,VOLUNTEER BREAKFAST,administrative
1833,IE-BUCK-EMAIL LIST,digital
710,MAIL AND ONLINE ADVERTISING,digital
834,VOTER FILE,polling
7665,TELEVISON ADVERTISING OF 'LUCKY',media
6420,BLAST EMAILS NATIONALLY 8/16/12,digital
427,JOINT FUNDRAISING FEE,fundraising
3055,CONSULTANTS - MEDIA,consulting
7164,SCRIPT WRITING 'GOTV OBAMACARE QUIZ',polling
2400,FOOD AFTER EVENT,misc
5338,INVOICE 23541 - STRICKLAND T-SHIRTS,field
5499,TV PRODUCTION COSTS OF 'RIGGED' - ESTIMATE,media
5449,VOTER CONTACT MAILING,field
386,CANVASSES,field
3135,PARKING METER/CREW VAN,travel
3001,RADIO ADVERTISING (PLACEMENT COST),media
504,FUNDRAISING EVENT CATERING,fundraising
886,INKIND VOTER FILE ACCESS,polling
446,TVMEDIA PLACEMENT  RADIO PLACEMENT,media
7282,ESTIMATE OF NATIONWIDE TELEMARKETING CALLS OPPOSING HILLARY CLINTON. CALLS MADE FROM FEBRUARY 1-14.,fundraising
5479,TELEVISION ADVERTISEMENT REFUND,media
3872,MEDIA PRODUCTION - TIME?,media
854,DATA LICENSE,polling
1115,"PRINTING/POSTAGE, 4TH CD FLIER",administrative
657,AMEX PMT SB21B21314 AUDIO VISUAL SERVICES,field
872,HOTEL ROOMS,travel
4641,ESTIMATED PRINTING - VOTE BRUCE BRALEY U.S. SENATE,media
971,PRINTING (BUMPER STICKERS),administrative
3644,TELE TOWN HALL,media
7088,PRODUCTION OF NEWSPAPER AD,media
955,VALET PARKING,travel
6323,IE-HASNER-DOOR HANGERS,field
2859,MEDIA DIGITAL AND TV ADVERTISING PRODUCTION COSTS,digital
1257,IE-LOBIONDO-MEDIA PRODUCTION,media
1396,TELEVISION ADVERTISING OF 'TAKES CARE',media
4283,MEDIA BUY - ESTIMATE,media
3102,MEDIA PLACEMENT.PRODUCTION,media
2478,NEWSPAPER AD  -  IL,media
4292,CALLS: ESTIMATE,field
6570,FIELD CONSULTING SERVICE,consulting
7110,ADVERTISING - TV - PRODUCTION,media
5738,"ONLINE ADVERTISING, NATIONALLY DISTRIBUTED - $300.00 PER STATE FOR 50 STATES",digital
5697,MEDIA BUY FOR RADIO AD,media
5320,RADIO BUY & PRODUXCTION,media
5798,IE-PRINTING/POSTAGE-COFFMAN,fundraising
5363,MEDIA BUY; ALSO OPPOSES BARACK OBAMA,media
813,POLLING EXPENSE,polling
624,LEGAL AND TREASURY FEES,legal
3058,IE-SMITH-PRINTING SUPPLIES,administrative
58,GENERIC CMTE PROCESSING FEES,administrative
245,VOTER REGISTRATION AND ISSUE ADVOCACY CAMPAIGN,field
5919,INTERNET FOR FIELD OFFICE; 9/1-9/30 (ESTIMATE),field
7475,IE-MOURDOCK-POLLING DATE,polling
7381,TV AD (TO AIR 1/9/12 -1/21/12),media
4120,PROMOTIONAL SIGNS PRINTING,field
3974,2/26 TO 2/28 RADIO ADVERTISING,media
4179,PRINTING - VOTE FOR ANN KIRKPATRICK,media
4025,"POSTAGE, 6TH CD FLIER",media
6894,IMPACT DIALING PHONE SYSTEM,field
7080,MAIL DESIGN (DEFEAT BEGICH 2),media
2807,DIGITAL MEDIA BUY - PREPARED - DISSEMINATED 8/19/2016,digital
1774,STAFF TIME ON SOCIAL MEDIA POSTS AND GRAPHICS (NATIONWIDE EXPENDITURE),digital
5066,IE-MULLEN-ONLINE ADS,digital
6004,CANVESSING SALARIES & BENEFITS,field
7720,MAIL 'NY-18' 'MALONEY 2',media
4799,MAILER (RECEIPT),media
2955,IN-KIND MEDIA PRODUCTION EXPENSE,media
5832,TELEVISION ADVERTISING & PRODUCTION OF BEFORE.,media
6786,BUS TOUR - WEBCAM,travel
749,"TRAVEL FOR FIELD PROGRAM; 8/1 - 8/31 (ESTIMATE). EXPECTED TO REACH $10,000 NO EARLIER THAN 8/8/14.",travel
990,POLLING POLLING EXPENSE,polling
3430,"ESTIMATED COST FOR SALARY, BENEFITS & OTHER CANVASS-RELATED EXPENSES FROM 9/13-9/17",field
3322,POSTAGE FOR MAILERS ('MCGINTY SUPREME COURT MAILER 2'),media
1057,PURCHASE OF RADIO ADS,media
7932,IOWA VOTER CONTACT CALLS,field
5317,NEWSPAPER AD - IA,media
551,ESTIMATE OF NATIONWIDE TELEMARKETING CALLS OPPOSING HILLARY CLINTON. CALLS MADE FROM OCTOBER 16-31.,fundraising
3680,TV AD - SPEW,media
6193,ONLINE AD PRODUCTION AND PLACEMENT: 'NICE',digital
1299,ESTIMATE OF NATIONWIDE TELEMARKETING CALLS OPPOSING HILLARY CLINTON. CALLS MADE FROM JANUARY 15-31.,fundraising
7852,DIGITAL MEDIA BUY FOR PRO-CASSIDY ADS,digital
5871,DELIVERY OF MAILING (FUEL),administrative
63,MAGAZINE FLIERS: HARRY REID VOTES,field
164,TEXT MESSAGES,digital
2257,FEDERAL DIGITIAL ADS SPACE AND AD MANAGEMENT,digital
7104,IE-CALLING LIST,administrative
2073,IE-WALSH-DOOR HANGERS,field
2597,"ONLINE ADVERTISEMENT SUPPORTING MITCH MCCONNELL, 12/2 - 12/12.",digital
1134,SUPPLIES FOR BUS TOUR,travel
909,RESEARCH AND POLLING,polling
5959,TV AD PRODUCTION & PLACEMENT: TIED,media
3693,WEBPAGE DEVELOPMENT FOR JAMES COMER.,digital
2514,PRO-PERRIELLO MESSAGING/COMMUNICATION,field
740,CAMPAIGN TREASURY AND LEGAL SERVICES,legal
5413,PROMOTED TWEETS/TWITTER HANDLE ESTIMATED,digital
7859,CANVASS OPERATION - BEGINNING 08/06/2013,field
391,IE-ANGLE-EMAIL LIST PURCHASE,fundraising
7877,CATHERINE AGAINST NEVADA DIGITAL ADVERTISEMENT PRODUCTION,digital
41,INTERNET,digital
6465,MAIL PRODUCTION PRINTING POSTAGE (ABSENTEE BALLOT 2),administrative
986,DATA AND ANALYTICS,polling
3160,POSTCARD MAILING/REPUBLICAN PRIMARY ELECTION VOTERS,administrative
6777,CANVASS MEALS,field
107,POSTAGE DELIVERY,administrative
788,NOV 12 ACCOUNTING LEGISLATIVE AND LEGAL PERSONNEL COSTS,legal
62,WIRE SERVICES ON LINE SVCS,legal
5034,FACEBOOK ADS (ESTIMATE),digital
1568,ONLINE ADVERTISING 10/28-11/6,digital
5108,PAYROLL FOR CANVASSERS,field
695,FLORIDA FIRST STAFF TIME (EXCEEDED $10K ON 9/17/2016),administrative
3971,IE-ALLEN-WALKING MAPS,field
898,PAC RESEARCH,polling
532,RADIO AD BUY ESTIMATE,media
2410,PAYROLL & BENEFITS - VOTE FOR CATHERINE CORTEZ MASTO (ESTIMATED),administrative
898,PAC AIRLINE TRAVEL,travel
122,IE-HOVDE-EST. STAFF & OVERHEAD,administrative
4012,DIRECT MAIL APPEAL FEE ESTIMATE OF NATIONWIDE DM OPPOSING HILLARY CLINTON. DMS SENT ON 8/24/16.,fundraising
888,VENUE RENTAL CATERING TRAVEL EXPENSE,travel
6836,WAGES FOR PHONE BANK SERVICES.,field
6597,ONLINE AD PLACEMENT,digital
4745,PURCHASE OF MAIL FILE (ABANDONED),administrative
977,ROBO CALLS: HARRY REID VOTES 'BALANCED BUDGET AMENDMENT',field
1343,MEIDA BUY,media
6922,NEWSPAPER ENDORSEMENT,media
4689,WEBSITE DEVELOPMENT - WWW.VOTERFORJOBS.COM AND EMAIL EXPENDITURE SUPPORTING SCOTT BROWN.,digital
6958,PRINTED MAIL PIECE,media
1359,"STAFF TIME, TRAVEL & FOOD FOR PHONEBANKING; 9/7 - 9/30",administrative
302,IE-SMITH-OFFICE CABLE,administrative
482,LIST PROCESSING,fundraising
79,MOBILE ONLINE ADVERTISING,digital
329,PAYMENT FOR PRINTING OF DOOR HANGERS.,field
387,TV AND DIGITAL PLACEMENT AND PRODUCTION,digital
662,DEBT REPAYMENT LEGAL SERVICES,legal
2463,MEDIA TV PRODUCTION,media
7752,MAILER (BAYH OBAMACARE MAILER 1),media
5197,CABLE TV BUY (RUN DATES 10/29 - 11/5/2012),media
822,MEDIA PLACEMENT (ESTIMATE 10/8/12-10/14/12),media
3574,DOOR HANGER -- IOWA; ALSO OPPOSES BARACK OBAMA,field
4235,ONLINE DELIVERY OF AD CONTENT TO MEDIA STATION.  AD SUPPORTS SAM CLOVIS AND AIRS MAY 27 TO JUNE 3RD.,digital
3792,RADIO MEDIA - LOOPHOLE,media
6383,STAFF TIME DRAFTING STATEMENT ON VP SELECTION,media
1958,PAYROLL FOR CANVASSERS FROM 7/25/16-7/31/16 NC,field
7856,MEDIA PRODUCTION/FILM FOOTAGE,media
5428,MOTEL FOR STAFF TRAVEL,travel
5179,MOBILE PHONE CARDS FOR EVENT,administrative
1077,DIRECT MAIL SERVICES; DISSEMINATION DATE 05/17/16,fundraising
2858,IE-MACK-POSTAGE,administrative
346,PAYROLL SVC TAXES INSURANCE,legal
5813,PRINT AD DESIGN (DEFEAT BEGICH 2),media
385,CAMPAIGN CALLS,field
5576,RAIN PONCHOS,misc
808,TRANSPORTATION SERVICES,travel
4277,IE-THOMAS-EMAIL MARKETING,digital
195,VOTER FILES BEGINNING JULY 26.,consulting
5977,CANDIDATE RECORD MAILING,field
4245,BARROW-VALUES',polling
523,POLITICAL STRATEGY SERVICES,consulting
874,TRAVEL EXPENSE LODGING,travel
7657,PRIMARYBOEHNER STICKERS AND PENS FOR DISTRIBUTION,field
1970,"THE EXHIBIT PLACE, INC., 56 SEXTON RD., MCKEES ROCKS, PA 15136 (YARD SIGNS, BUMPER STICKERS, FLYERS)",field
1973,TELEVISION AND DIGITAL ADVERTISEMENT PRODUCTION - NEWTOWN,digital
5135,PAYROLL AND BENEFITS,field
6093,WEB AD DELIVERY,digital
220,TV AD 'THE BILLIONAIRES',media
5662,BANNER & WEB AD CREATION & PRODUCTION,digital
6886,STAFF CAMPAIGN ACTIVITY,administrative
7305,EMBEDDED RADIO MARKETING; ALSO SUPPORTS MITT ROMNEY,media
2749,TELEVISION PRODUCTION OF 'MAP' - ESTIMATE,media
1665,IE-PRINTING-TARKANIAN,administrative
4838,CABLE TV MEDIA BUY AND PRODUCTION,media
640,"DIRECT MAIL;PAID 94,454.45 - RED PRINTING & MAIL;$2,292.00 - POLITICAL DATA; $83,780.91 - U.S.P.S",fundraising
3857,ONLINE AD PRODUCTION COST - ESTIMATED,digital
7686,TELEVISION PRODUCTION OF 'EASY',media
7524,PREDICTIVE DIALER CALLS,field
663,IN KIND LEGAL SERVICES,legal
1839,EST. PAYMENT FOR BUTTONS & T-SHIRTS,field
4627,VOTER CONTACT MAIL PRODUCTION & POSTAGE: HISPANIC PERSUASION BILINGUAL B1,field
259,CAMPAIGN LITERATURE,field
2976,5/8 TO 5/12 FACEBOOK ADVERTISEMENT,digital
620,PER DIEM EXPENSES,administrative
4344,AD PRODUCTION - FOOD,media
6755,IE-CRUZ-TELEMARKETING,fundraising
4982,"ONLINE ADS; 10/10 - 10/31. DOES NOT REACH $1,000 UNTIL 10/29",digital
3700,APPAREL AND DISTRIBUTION,field
427,MEDIA PLACEMENT  BROADCASTCABLE,media
5782,"UFCW FOR OBAMA BUMPER STICKERS, BUTTONS,",field
446,MEDIA ADVERTISING BUY,media
4730,DIRECTOR/DP/EDITOR/PRODUCER - MR. DEPENDABLE AND FEELING GUILTY,media
3395,AUTOMATED CALLS TO CA MEMBERS,field
284,STRATEGIC PLANNING CONSULTING,consulting
411,DIRECT MAIL PRINTING POSTAGE,fundraising
339,FUNDRAISER CONSULTING,consulting
6110,ADVERTISING - MEDIA,media
7078,SUPPORT CANDIDATE.,misc
831,REIMBURSEMENT TRAVEL AIR,travel
694,ADMINISTRATIVE LEGAL,legal
7521,IE-DEVORE-ONLINE PROCESSING FEES,digital
6705,"DIGITAL ADVERTISEMENT ERNST SUPPORTING JONI ERNST, 5/29 - 6/3.",digital
3272,SOFTWARE FOR ONLINE EVENT,digital
2004,LODGING FOR RALLY,travel
4478,ROBOCALLS - MICHIGAN,field
780,TV PRODUCTION AND MEDIA BUY,media
4050,POLITICAL AD,media
7319,RADIO ADVERTISING 6/2 TO 6/4,media
4313,PAID COMMUNICATION - MAIL,fundraising
5572,ESTIMATED COST: ONLINE ADVERTISING,digital
217,AUOTMATED TELEPHONE CALLS,field
7062,STAFF EXPENSES FOR CANVASSING SERVICES,field
5496,DIRECT MAIL - 10/11/2012,fundraising
3398,PAC MAILING,fundraising
3584,INTERNET ADS/COMMUNICATIONS (FROM ADVANCE LINE 21),digital
2586,EMAIL EXPENDITURE SUPPORTING NAN HAYWORTH.,digital
3429,SUPPLIES; 11/1 - 11/4 (ESTIMATE),administrative
781,ACCOUNTING SERVICES TREASURER,legal
545,INTERNET FUNDRAISING,fundraising
5905,TICKET ROLL AND FIRE TABLET,misc
214,FIELD CONSULTING,consulting
3030,TELEVISION ADVERTISING OF 'CUTS',media
228,ADD TO TV AD AIR BUY,media
3609,GRASSROOTS SUPPORT EMAILS,digital
3566,MAIL PRINTING & POSTAGE (FORWARD),administrative
4957,TELEVISION ADVERTISNG,media
5692,IE-BUCK-EMAILS,digital
1003,YARD & CARD SIGNS,field
2564,IE-DASHER-EMAIL LIST RENTAL,digital
5638,PREPARE MAILINGS,administrative
6366,MAIL DESIGN (FORWARD),administrative
2373,MEDIA BUY - TV AND DIGITAL,digital
972,FACEBOOK ADERVTISEMENTS,digital
